Firm,Ticker,IPO date,Cap ($bn),,,,,
Walmart,WMT,1972,386.12,,,,,
3M,MMM,1946,99.48,,,,,
Boeing,BA,1962,110.77,,,,,
Ford,F,1956,77.6,,,,,
Home Depot,HD,1981,406.63,,,,,
Citigroup,C,1998,115.64,,,,,
AIG,AIG,1969,43.93,,,,,
Cisco,CSCO,1990,254.5,,,,,
Apple,AAPL,1980,2785,,,,,
Microsoft,MSFT,1986,2402,,,,,
Visa,V,2008,453.76,,,,,
Mastercard,MA,2006,331.14,,,,,
AECOM,ACM,2007,10.3,,,,,
Owens Corning,OC,2006,8.47,,,,,
Chipotle,CMG,2006,47.27,,,,,
MSCI,MSCI,2007,47.67,,,,,
Hyatt,H,2009,9.15,,,,,
Huntsman Corp,HUN,2005,6.86,,,,,
Morningstar,MORN,2005,14.19,,,,,
Vmware,VMW,2007,48.26,,,,,
